,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
9663,NexWave Talent Management Solutions,4.3,70,--,557,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,IT Services & Consulting | 51-200 Employees | 16 years old | Atlanta +7 more
9664,Jabra Connect,4.2,70,1,464,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Consumer Electronics & Appliances | 51-200 Employees | 22 years old | Noida +6 more
9665,Juspay Technologies,4.0,70,8,572,"Skill Development / Learning, Company Culture, Job Security",NaN,FinTech | 51-200 Employees | Startup | 11 years old | Bengaluru/Bangalore +5 more
9666,FINE COMPONENTS AND TOOLS,3.6,70,1,464,NaN,NaN,Industrial Machinery | 501-1k Employees | 26 years old | Bengaluru +3 more
9667,Gmoney Pvt. Ltd.,3.8,70,11,214,Salary & Benefits,NaN,Financial Services | 51-200 Employees | 4 years old | Mumbai +11 more
9668,Minanshika Softech Solution,4.2,70,--,12,"Work Satisfaction, Job Security, Salary & Benefits",NaN,BPO | 11-50 Employees | 4 years old | Kolkata +9 more
9669,Hirva HR Solutions,4.5,70,470,18,"Work Satisfaction, Company Culture, Skill Development / Learning",NaN,Recruitment | 51-200 Employees | 3 years old | Surat +30 more
9670,sifars,4.8,70,3,16,"Work Life Balance, Company Culture, Work Satisfaction",NaN,IT Services & Consulting | 11-50 Employees | 6 years old | Patiala
9671,ESL Steel,3.8,70,--,363,"Salary & Benefits, Skill Development / Learning",NaN,501-1k Employees | Bokaro +2 more
9672,Carelan,3.9,70,1,745,"Company Culture, Salary & Benefits, Job Security",NaN,Hyderabad/Secunderabad +5 more
9673,ProProfs,3.9,70,39,463,"Work Life Balance, Company Culture, Job Security",NaN,Software Product | 51-200 Employees | 13 years old | San Francisco
9674,Brightsun Travel,3.4,70,6,388,Promotions / Appraisal,NaN,Travel & Tourism | 11-50 Employees | 37 years old | Gurgaon/Gurugram +2 more
9675,Freight Systems,3.8,70,9,553,NaN,NaN,Ports & Shipping | 501-1k Employees | Public | 35 years old | Dubai +13 more
9676,Schenck Rotec,4.3,70,8,352,"Work Life Balance, Job Security, Company Culture",NaN,Auto Components | 51-200 Employees | 28 years old | Darmstadt +8 more
9677,OpenXcell Technolabs,4.1,70,1,644,"Work Life Balance, Job Security, Company Culture",NaN,IT Services & Consulting | 201-500 Employees | 14 years old | Las Vegas +3 more
9678,Institutional Shareholder Services,3.5,70,37,651,"Job Security, Work Life Balance",Promotions / Appraisal,Analytics & KPO | 501-1k Employees | 38 years old | Rockville +3 more
9679,Mother’s Pride,3.7,69,2,414,NaN,NaN,Education & Training | 1k-5k Employees | 27 years old | Delhi/NCR +12 more
9680,ArisGlobal,2.8,69,--,890,"Job Security, Promotions / Appraisal, Company Culture",NaN,IT Services & Consulting | 1k-5k Employees (Global) | 36 years old | Miami +3 more
9681,Harbinger Group,3.9,69,7,801,"Company Culture, Skill Development / Learning, Work Satisfaction",NaN,IT Services & Consulting | 201-500 Employees | 33 years old | Pune +1 more
9682,Mothercare,3.9,69,--,238,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Retail | 51-200 Employees | Public | 62 years old | Watford +21 more
9683,Avekshaa Technologies,4.7,69,10,208,"Skill Development / Learning, Job Security, Promotions / Appraisal",NaN,Software Product | 51-200 Employees | 12 years old | Bangalore/Bengaluru +3 more
9684,CleanMax Solar,4.4,69,3,529,"Salary & Benefits, Job Security, Work Life Balance",NaN,Power | 51-200 Employees | 12 years old | Mumbai +11 more
9685,RMZ Corp,3.3,69,--,552,"Job Security, Work Life Balance",NaN,Real Estate | 201-500 Employees | 21 years old | Bangalore/Bengaluru +3 more
9686,Mobulous Technologies,4.6,69,19,224,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,IT Services & Consulting | 51-200 Employees | 10 years old | Noida +3 more
9687,Kumon India Education,4.0,69,2,331,"Job Security, Company Culture, Work Life Balance",NaN,Education & Training | 51-200 Employees | 19 years old | New Delhi +14 more
9688,CRY - Child Rights and You,4.0,69,20,332,"Work Life Balance, Salary & Benefits, Company Culture",NaN,Non-Profit | 51-200 Employees | 44 years old | Mumbai +6 more
9689,Innovare Labs,3.5,69,--,494,NaN,NaN,Pharma | 11-50 Employees | 11 years old | Hyderabad/Secunderabad +3 more
9690,Rakesh Masala,4.2,69,--,352,"Skill Development / Learning, Company Culture, Salary & Benefits",NaN,Food Processing | 201-500 Employees | 27 years old | Noida +16 more
9691,Rajasthan Antibiotics,3.8,69,--,305,Promotions / Appraisal,NaN,Pharma | 201-500 Employees | 32 years old | New Delhi +5 more
9692,Pacific It Consulting,3.9,69,32,550,Salary & Benefits,NaN,Recruitment | 11-50 Employees | 31 years old | Noida +9 more
9693,Danem Engineering Works,3.8,69,7,316,"Skill Development / Learning, Work Life Balance, Salary & Benefits",NaN,Engineering & Construction | 51-200 Employees | 25 years old | Doha +6 more
9694,ABES Engineering College,3.8,69,--,272,NaN,NaN,Education & Training | 201-500 Employees | 24 years old | Ghaziabad +6 more
9695,New Saraswati House,3.9,69,--,325,Work Life Balance,NaN,Printing & Publishing | 51-200 Employees | 73 years old | New Delhi +17 more
9696,Sher-I-Kashmir Institute of Medical Sciences,4.5,69,--,202,"Skill Development / Learning, Work Satisfaction, Job Security",NaN,Healthcare | 201-500 Employees | Public | 46 years old | Srinagar +4 more
9697,Allena Auto Industries,3.6,69,--,408,"Promotions / Appraisal, Salary & Benefits",NaN,Auto Components | 201-500 Employees | 47 years old | Mohali +4 more
9698,Krishna Institute of Engineering & Technology,3.7,69,--,381,Salary & Benefits,NaN,Education & Training | 501-1k Employees | 25 years old | Ghaziabad +7 more
9699,Virchow Laboratories,3.8,69,2,344,Job Security,NaN,Pharma | 201-500 Employees | 42 years old | Hyderabad +5 more
9700,Delhi Development Authority,4.3,69,--,362,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Engineering & Construction | 1k-5k Employees | 66 years old | New Delhi +2 more
9701,Magicon Impex,3.7,69,--,274,Job Security,NaN,Retail | 201-500 Employees | 12 years old | New Delhi +25 more
9702,William Penn,4.1,69,1,507,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Other | 201-500 Employees | 21 years old | Banglore +8 more
9703,Richa Industries,3.7,69,--,210,Work Life Balance,NaN,Engineering & Construction | 501-1k Employees (Global) | Public | 30 years old | Faridabad +11 more
9704,Oberoi Flight Services,3.1,69,3,276,"Work Life Balance, Salary & Benefits, Job Security",NaN,Aviation | 501-1k Employees | 89 years old | New Delhi +6 more
9705,Karle Infra,3.8,69,--,412,"Company Culture, Skill Development / Learning, Job Security",NaN,Real Estate | 201-500 Employees | 12 years old | Bangalore/Bengaluru +1 more
9706,RCF,3.9,69,--,209,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Agro Chemicals | 1k-5k Employees (Global) | 56 years old | Mumbai +12 more
9707,R K Marbles,3.6,69,--,380,NaN,NaN,Metals & Mining | 1k-5k Employees | 34 years old | Kishangarh +14 more
9708,DP Chocolates,4.0,69,--,374,"Company Culture, Work Satisfaction, Job Security",NaN,Food Processing | 51-200 Employees | 16 years old | Hyderabad +6 more
9709,Biomerieux,3.8,69,--,329,NaN,NaN,Biotechnology | 51-200 Employees | 60 years old | Marcy I'Etoile +12 more
9710,Majestique Landmarks,3.8,69,--,506,NaN,NaN,Engineering & Construction | 51-200 Employees | 16 years old | Pune +2 more
9711,Konkan Railway Corporation,3.8,69,--,352,NaN,NaN,Railways | 5k-10k Employees (Global) | Central | 52 years old | Navi Mumbai +15 more
9712,Kosan Crisplant,4.1,69,--,436,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Oil & Gas | 11-50 Employees | 72 years old | Randers +14 more
9713,FIT 3PL Warehousing,4.2,69,--,340,"Company Culture, Work Satisfaction, Work Life Balance",NaN,Logistics | 501-1k Employees | 37 years old | Bengaluru +21 more
9714,Corrival Corporate Consultants,4.1,69,1,434,"Company Culture, Work Satisfaction, Job Security",NaN,Recruitment | 501-1k Employees (Global) | 17 years old | Hyderabad +23 more
9715,Aurobindho Pharma,3.9,69,--,440,Job Security,NaN,10k-50k Employees | Hyderabad/Secunderabad +11 more
9716,Wonder Home Finance,4.3,69,4,448,"Company Culture, Work Satisfaction, Work Life Balance",NaN,Financial Services | 51-200 Employees | 6 years old | jaipur +29 more
9717,DPS International,3.7,69,--,380,NaN,NaN,Education & Training | 51-200 Employees | 9 years old | Gurgaon/Gurugram +22 more
9718,Xiaomi Service Center,4.4,69,--,163,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,10k-50k Employees | Patna +44 more
9719,Rohilkhand Medical College And Hospital,3.8,69,2,287,Job Security,NaN,Healthcare | 201-500 Employees | 17 years old | Bareilly +6 more
9720,Global Group,3.9,69,1,469,NaN,NaN,Engineering & Construction | 51-200 Employees | 23 years old | Pune +7 more
9721,Mizuho Bank,3.5,69,--,655,Promotions / Appraisal,NaN,Banking | 501-1k Employees | 21 years old | Tokyo +7 more
9722,Accutech Power Solutions,3.8,69,1,463,NaN,NaN,Consumer Electronics & Appliances | 501-1k Employees | 53 years old | Mumbai +7 more
9723,Everest Group,3.7,69,23,747,"Company Culture, Salary & Benefits",NaN,Analytics & KPO | 501-1k Employees | 32 years old | Dallas +9 more
9724,IMMCO,3.5,69,--,482,Job Security,"Promotions / Appraisal, Salary & Benefits",201-500 Employees | 31 years old | Alpharetta +2 more
9725,FSL,4.0,69,2,332,Job Security,NaN,Education & Training | 11-50 Employees (Global) | 23 years old | Bengaluru +14 more
9726,Kestone Integrated Marketing Services,3.5,69,1,409,Promotions / Appraisal,NaN,Marketing & Advertising | 51-200 Employees | 26 years old | New Delhi +16 more
9727,NuvoEx,4.5,69,--,102,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Logistics | 1k-5k Employees | Startup | 10 years old | Delhi +15 more
9728,R K Marbles,3.6,69,--,380,NaN,NaN,Metals & Mining | 1k-5k Employees | 34 years old | Kishangarh +14 more
9729,DP Chocolates,4.0,69,--,374,"Company Culture, Work Satisfaction, Job Security",NaN,Food Processing | 51-200 Employees | 16 years old | Hyderabad +6 more
9730,Balaji Telefilms,3.2,69,7,414,"Job Security, Company Culture",NaN,Media & Entertainment | 201-500 Employees | Public | 29 years old | Mumbai +8 more
9731,Lifeline Hospital India,4.2,69,--,372,"Work Life Balance, Skill Development / Learning, Company Culture",NaN,Healthcare | 201-500 Employees (Global) | 26 years old | Chennai +25 more
9732,Premier Irrigation Adritec,3.7,69,10,321,Promotions / Appraisal,NaN,Agriculture | 501-1k Employees | Public | 58 years old | Kolkata +19 more
9733,Boutique International,4.0,69,--,393,"Company Culture, Skill Development / Learning, Work Satisfaction",NaN,Fashion & Textile | 51-200 Employees | 40 years old | Noida +11 more
9734,Six Construct,4.7,69,--,113,"Work Satisfaction, Company Culture, Skill Development / Learning",NaN,Engineering & Construction | 11-50 Employees | 58 years old | Dubai +11 more
9735,Employees State Insurance Corporation,4.2,69,--,349,"Work Life Balance, Job Security, Work Satisfaction",NaN,Insurance | 1-10 Employees | Public | 71 years old | New Delhi +27 more
9736,Chaitanya Projects Consultancy,4.1,69,7,357,"Work Satisfaction, Job Security, Skill Development / Learning",NaN,Financial Services | 51-200 Employees | Noida +19 more
9737,Concept Pharmaceuticals,2.7,69,--,407,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",NaN,Pharma | 11-50 Employees | 39 years old | Mumbai +11 more
9738,Sinhgad Technical Education Society,3.4,69,--,319,Salary & Benefits,NaN,Education & Training | 201-500 Employees | 30 years old | Pune +4 more
9739,iResearch Services,3.2,69,4,503,"Promotions / Appraisal, Skill Development / Learning, Job Security",NaN,Analytics & KPO | 51-200 Employees | 15 years old | London
9740,William Penn,4.1,69,1,507,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Other | 201-500 Employees | 21 years old | Banglore +8 more
9741,Richa Industries,3.7,69,--,210,Work Life Balance,NaN,Engineering & Construction | 501-1k Employees (Global) | Public | 30 years old | Faridabad +11 more
9742,Auriga Research,3.1,69,11,443,NaN,NaN,Analytics & KPO | 51-200 Employees | 16 years old | Gurgaon +8 more
9743,RDP Workstations,3.4,69,7,288,Job Security,NaN,Consumer Electronics & Appliances | 11-50 Employees | 11 years old | Hyderabad +5 more
9744,Techila Global Services,3.9,69,22,423,"Work Life Balance, Salary & Benefits, Company Culture",NaN,IT Services & Consulting | 501-1k Employees | 11 years old | Boca Raton +4 more
9745,Konkan Railway Corporation,3.8,69,--,352,NaN,NaN,Railways | 5k-10k Employees (Global) | Central | 52 years old | Navi Mumbai +15 more
9746,Elektrobit India,4.0,69,--,620,"Work Life Balance, Job Security, Company Culture",NaN,IT Services & Consulting | 501-1k Employees | Public | 35 years old | Erlangen +1 more
9747,Haribhakti & Co,2.4,69,--,478,"Promotions / Appraisal, Company Culture, Salary & Benefits",NaN,Accounting & Auditing | 201-500 Employees | Mumbai +8 more
9748,Xiaomi Service Center,4.4,69,--,163,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,10k-50k Employees | Patna +44 more
9749,Rohilkhand Medical College And Hospital,3.8,69,2,287,Job Security,NaN,Healthcare | 201-500 Employees | 17 years old | Bareilly +6 more
9750,Silver Spark Apparel,3.9,69,--,291,"Skill Development / Learning, Job Security",NaN,Fashion & Textile | 11-50 Employees (Global) | Mumbai +6 more
9751,IServeU,3.0,69,70,560,"Company Culture, Promotions / Appraisal, Job Security",NaN,FinTech | 51-200 Employees | 7 years old | Bhubaneswar +4 more
9752,Majestique Landmarks,3.8,69,--,506,NaN,NaN,Engineering & Construction | 51-200 Employees | 16 years old | Pune +2 more
9753,Biomerieux,3.8,69,--,329,NaN,NaN,Biotechnology | 51-200 Employees | 60 years old | Marcy I'Etoile +12 more
9754,LARVOL,3.9,69,9,138,NaN,NaN,Pharma | 51-200 Employees | 19 years old | San Francisco +8 more
9755,Karle Infra,3.8,69,--,412,"Company Culture, Skill Development / Learning, Job Security",NaN,Real Estate | 201-500 Employees | 12 years old | Bangalore/Bengaluru +1 more
9756,Curatio Healthcare,4.7,69,3,229,"Company Culture, Work Satisfaction, Skill Development / Learning",NaN,Pharma | 201-500 Employees | 18 years old | Chennai +16 more
9757,Bird Group,3.1,69,--,501,"Salary & Benefits, Promotions / Appraisal, Job Security",NaN,Aviation | 1k-5k Employees | Conglomerate | 52 years old | Delhi/NCR +7 more
9758,Fair Exports,3.6,69,--,579,Job Security,Promotions / Appraisal,Import & Export | 51-200 Employees | 33 years old | Ghaziabad +12 more
9759,Kosan Crisplant,4.1,69,--,436,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Oil & Gas | 11-50 Employees | 72 years old | Randers +14 more
9760,RDP Workstations,3.4,69,7,288,Job Security,NaN,Consumer Electronics & Appliances | 11-50 Employees | 11 years old | Hyderabad +5 more
9761,Swarna Pragati Housing Microfinance,4.0,69,7,239,"Salary & Benefits, Work Life Balance, Company Culture",NaN,Financial Services | 51-200 Employees | 14 years old | Nagpur +23 more
9762,LARVOL,3.9,69,9,138,NaN,NaN,Pharma | 51-200 Employees | 19 years old | San Francisco +8 more
9763,Curatio Healthcare,4.7,69,3,229,"Company Culture, Work Satisfaction, Skill Development / Learning",NaN,Pharma | 201-500 Employees | 18 years old | Chennai +16 more
9764,Bird Group,3.1,69,--,501,"Salary & Benefits, Promotions / Appraisal, Job Security",NaN,Aviation | 1k-5k Employees | Conglomerate | 52 years old | Delhi/NCR +7 more
9765,Fair Exports,3.6,69,--,579,Job Security,Promotions / Appraisal,Import & Export | 51-200 Employees | 33 years old | Ghaziabad +12 more
9766,Rajasthan Antibiotics,3.8,69,--,305,Promotions / Appraisal,NaN,Pharma | 201-500 Employees | 32 years old | New Delhi +5 more
9767,Danem Engineering Works,3.8,69,7,316,"Skill Development / Learning, Work Life Balance, Salary & Benefits",NaN,Engineering & Construction | 51-200 Employees | 25 years old | Doha +6 more
9768,Pacific It Consulting,3.9,69,32,550,Salary & Benefits,NaN,Recruitment | 11-50 Employees | 31 years old | Noida +9 more
9769,Lotus Surgicals,4.1,69,--,357,"Job Security, Company Culture, Salary & Benefits",NaN,Medical Equipment | 201-500 Employees | 18 years old | Mumbai +15 more
9770,Sher-I-Kashmir Institute of Medical Sciences,4.5,69,--,202,"Skill Development / Learning, Work Satisfaction, Job Security",NaN,Healthcare | 201-500 Employees | Public | 46 years old | Srinagar +4 more
9771,Allena Auto Industries,3.6,69,--,408,"Promotions / Appraisal, Salary & Benefits",NaN,Auto Components | 201-500 Employees | 47 years old | Mohali +4 more
9772,Krishna Institute of Engineering & Technology,3.7,69,--,381,Salary & Benefits,NaN,Education & Training | 501-1k Employees | 25 years old | Ghaziabad +7 more
9773,Virchow Laboratories,3.8,69,2,344,Job Security,NaN,Pharma | 201-500 Employees | 42 years old | Hyderabad +5 more
9774,Rajwada Group,3.8,69,--,183,NaN,NaN,Real Estate | 11-50 Employees | 23 years old | Kolkata +2 more
9775,Della Group,3.0,69,23,263,"Work Life Balance, Job Security, Work Satisfaction",NaN,Architecture & Interior Design | 501-1k Employees | 27 years old | Mumbai +2 more
